student_id,module_id,pacing_score,cohesion_score,energy_score
STU_1001,MOD_01,slow,clear,high
STU_1001,MOD_02,rushed,clear,high
STU_1001,MOD_03,optimal,clear,moderate
STU_1001,MOD_04,rushed,fragmented,moderate
STU_1001,MOD_05,optimal,clear,high
STU_1001,MOD_06,optimal,clear,moderate
STU_1002,MOD_01,optimal,clear,high
STU_1002,MOD_02,optimal,clear,moderate
STU_1002,MOD_03,rushed,clear,high
STU_1002,MOD_04,rushed,confused,high
STU_1002,MOD_05,rushed,fragmented,depleted
STU_1002,MOD_06,optimal,clear,high
STU_1003,MOD_01,optimal,clear,high
STU_1003,MOD_02,rushed,confused,high
STU_1003,MOD_03,optimal,clear,high
STU_1003,MOD_04,optimal,clear,depleted
STU_1003,MOD_05,optimal,fragmented,depleted
STU_1003,MOD_06,optimal,confused,high
STU_1004,MOD_01,rushed,clear,high
STU_1004,MOD_02,optimal,confused,high
STU_1004,MOD_03,rushed,clear,high
STU_1004,MOD_04,optimal,clear,depleted
STU_1004,MOD_05,optimal,clear,high
STU_1004,MOD_06,optimal,clear,moderate
STU_1005,MOD_01,rushed,clear,high
STU_1005,MOD_02,optimal,clear,high
STU_1005,MOD_03,rushed,clear,high
STU_1005,MOD_04,optimal,confused,depleted
STU_1005,MOD_05,optimal,clear,moderate
STU_1005,MOD_06,optimal,clear,moderate
STU_1006,MOD_01,optimal,clear,high
STU_1006,MOD_02,rushed,clear,high
STU_1006,MOD_03,rushed,clear,moderate
STU_1006,MOD_04,rushed,clear,moderate
STU_1006,MOD_05,optimal,clear,high
STU_1006,MOD_06,rushed,confused,moderate
STU_1007,MOD_01,optimal,confused,high
STU_1007,MOD_02,optimal,clear,moderate
STU_1007,MOD_03,optimal,clear,high
STU_1007,MOD_04,rushed,clear,moderate
STU_1007,MOD_05,optimal,clear,moderate
STU_1007,MOD_06,optimal,clear,high
STU_1008,MOD_01,optimal,clear,high
STU_1008,MOD_02,optimal,clear,depleted
STU_1008,MOD_03,slow,clear,high
STU_1008,MOD_04,rushed,clear,high
STU_1008,MOD_05,optimal,clear,high
STU_1008,MOD_06,optimal,confused,high
STU_1009,MOD_01,optimal,fragmented,high
STU_1009,MOD_02,optimal,clear,high
STU_1009,MOD_03,optimal,clear,high
STU_1009,MOD_04,optimal,clear,high
STU_1009,MOD_05,optimal,clear,high
STU_1009,MOD_06,rushed,clear,moderate
STU_1010,MOD_01,optimal,clear,high
STU_1010,MOD_02,rushed,clear,high
STU_1010,MOD_03,optimal,clear,high
STU_1010,MOD_04,rushed,fragmented,depleted
STU_1010,MOD_05,optimal,confused,moderate
STU_1010,MOD_06,optimal,clear,high
STU_1011,MOD_01,optimal,confused,high
STU_1011,MOD_02,optimal,clear,moderate
STU_1011,MOD_03,optimal,confused,moderate
STU_1011,MOD_04,optimal,clear,high
STU_1011,MOD_05,optimal,confused,high
STU_1011,MOD_06,rushed,clear,high
STU_1012,MOD_01,optimal,clear,moderate
STU_1012,MOD_02,optimal,clear,high
STU_1012,MOD_03,rushed,clear,high
STU_1012,MOD_04,optimal,confused,moderate
STU_1012,MOD_05,rushed,clear,high
STU_1012,MOD_06,optimal,fragmented,high
STU_1013,MOD_01,optimal,clear,high
STU_1013,MOD_02,optimal,clear,high
STU_1013,MOD_03,optimal,clear,high
STU_1013,MOD_04,rushed,clear,depleted
STU_1013,MOD_05,slow,fragmented,moderate
STU_1013,MOD_06,rushed,confused,moderate
STU_1014,MOD_01,slow,confused,high
STU_1014,MOD_02,optimal,confused,high
STU_1014,MOD_03,rushed,clear,moderate
STU_1014,MOD_04,optimal,clear,high
STU_1014,MOD_05,optimal,fragmented,high
STU_1014,MOD_06,optimal,confused,depleted
STU_1015,MOD_01,optimal,clear,high
STU_1015,MOD_02,optimal,confused,moderate
STU_1015,MOD_03,optimal,clear,high
STU_1015,MOD_04,optimal,confused,moderate
STU_1015,MOD_05,optimal,confused,high
STU_1015,MOD_06,optimal,clear,moderate
STU_1016,MOD_01,optimal,clear,high
STU_1016,MOD_02,optimal,clear,high
STU_1016,MOD_03,optimal,clear,high
STU_1016,MOD_04,optimal,confused,high
STU_1016,MOD_05,optimal,clear,high
STU_1016,MOD_06,optimal,clear,moderate
STU_1017,MOD_01,slow,clear,high
STU_1017,MOD_02,optimal,clear,high
STU_1017,MOD_03,rushed,clear,depleted
STU_1017,MOD_04,optimal,confused,moderate
STU_1017,MOD_05,rushed,clear,high
STU_1017,MOD_06,optimal,clear,moderate
STU_1018,MOD_01,slow,clear,high
STU_1018,MOD_02,optimal,clear,high
STU_1018,MOD_03,rushed,clear,high
STU_1018,MOD_04,rushed,clear,high
STU_1018,MOD_05,optimal,confused,moderate
STU_1018,MOD_06,rushed,clear,moderate
STU_1019,MOD_01,optimal,clear,high
STU_1019,MOD_02,optimal,clear,high
STU_1019,MOD_03,optimal,clear,moderate
STU_1019,MOD_04,optimal,clear,high
STU_1019,MOD_05,optimal,clear,moderate
STU_1019,MOD_06,optimal,clear,high
STU_1020,MOD_01,optimal,clear,moderate
STU_1020,MOD_02,optimal,fragmented,moderate
STU_1020,MOD_03,rushed,clear,high
STU_1020,MOD_04,rushed,clear,moderate
STU_1020,MOD_05,rushed,clear,moderate
STU_1020,MOD_06,rushed,confused,high
STU_1021,MOD_01,optimal,clear,moderate
STU_1021,MOD_02,optimal,confused,high
STU_1021,MOD_03,rushed,clear,moderate
STU_1021,MOD_04,slow,clear,high
STU_1021,MOD_05,optimal,clear,depleted
STU_1021,MOD_06,optimal,clear,moderate
STU_1022,MOD_01,rushed,confused,high
STU_1022,MOD_02,optimal,clear,moderate
STU_1022,MOD_03,rushed,clear,moderate
STU_1022,MOD_04,rushed,clear,depleted
STU_1022,MOD_05,slow,clear,moderate
STU_1022,MOD_06,optimal,clear,high
STU_1023,MOD_01,optimal,clear,moderate
STU_1023,MOD_02,rushed,clear,high
STU_1023,MOD_03,optimal,clear,moderate
STU_1023,MOD_04,rushed,clear,high
STU_1023,MOD_05,optimal,confused,high
STU_1023,MOD_06,rushed,clear,high
STU_1024,MOD_01,optimal,clear,high
STU_1024,MOD_02,slow,clear,high
STU_1024,MOD_03,optimal,confused,depleted
STU_1024,MOD_04,optimal,clear,high
STU_1024,MOD_05,optimal,clear,moderate
STU_1024,MOD_06,optimal,clear,moderate
STU_1025,MOD_01,optimal,clear,high
STU_1025,MOD_02,rushed,clear,moderate
STU_1025,MOD_03,optimal,fragmented,high
STU_1025,MOD_04,rushed,confused,high
STU_1025,MOD_05,slow,clear,depleted
STU_1025,MOD_06,rushed,confused,moderate
STU_1026,MOD_01,rushed,clear,depleted
STU_1026,MOD_02,optimal,clear,moderate
STU_1026,MOD_03,rushed,clear,high
STU_1026,MOD_04,optimal,clear,moderate
STU_1026,MOD_05,slow,confused,moderate
STU_1026,MOD_06,optimal,clear,high
STU_1027,MOD_01,optimal,clear,high
STU_1027,MOD_02,slow,fragmented,moderate
STU_1027,MOD_03,optimal,clear,moderate
STU_1027,MOD_04,optimal,clear,depleted
STU_1027,MOD_05,optimal,fragmented,moderate
STU_1027,MOD_06,optimal,clear,depleted
STU_1028,MOD_01,rushed,clear,high
STU_1028,MOD_02,optimal,fragmented,high
STU_1028,MOD_03,rushed,clear,depleted
STU_1028,MOD_04,optimal,confused,moderate
STU_1028,MOD_05,optimal,clear,high
STU_1028,MOD_06,optimal,confused,depleted
STU_1029,MOD_01,optimal,clear,moderate
STU_1029,MOD_02,optimal,clear,high
STU_1029,MOD_03,rushed,fragmented,high
STU_1029,MOD_04,rushed,confused,moderate
STU_1029,MOD_05,optimal,clear,moderate
STU_1029,MOD_06,optimal,clear,moderate
STU_1030,MOD_01,optimal,clear,moderate
STU_1030,MOD_02,optimal,clear,high
STU_1030,MOD_03,optimal,clear,moderate
STU_1030,MOD_04,rushed,clear,high
STU_1030,MOD_05,optimal,clear,moderate
STU_1030,MOD_06,optimal,confused,moderate
STU_1031,MOD_01,optimal,clear,high
STU_1031,MOD_02,optimal,confused,high
STU_1031,MOD_03,optimal,clear,high
STU_1031,MOD_04,optimal,fragmented,moderate
STU_1031,MOD_05,optimal,confused,high
STU_1031,MOD_06,rushed,clear,high
STU_1032,MOD_01,rushed,clear,high
STU_1032,MOD_02,optimal,confused,high
STU_1032,MOD_03,optimal,clear,high
STU_1032,MOD_04,rushed,clear,high
STU_1032,MOD_05,rushed,clear,high
STU_1032,MOD_06,optimal,clear,high
STU_1033,MOD_01,optimal,clear,moderate
STU_1033,MOD_02,optimal,clear,moderate
STU_1033,MOD_03,optimal,clear,high
STU_1033,MOD_04,optimal,confused,high
STU_1033,MOD_05,optimal,clear,moderate
STU_1033,MOD_06,optimal,clear,moderate
STU_1034,MOD_01,rushed,clear,moderate
STU_1034,MOD_02,optimal,clear,high
STU_1034,MOD_03,rushed,clear,high
STU_1034,MOD_04,rushed,clear,high
STU_1034,MOD_05,rushed,clear,high
STU_1034,MOD_06,optimal,clear,depleted
STU_1035,MOD_01,optimal,clear,high
STU_1035,MOD_02,rushed,clear,high
STU_1035,MOD_03,optimal,clear,high
STU_1035,MOD_04,rushed,clear,moderate
STU_1035,MOD_05,optimal,clear,depleted
STU_1035,MOD_06,optimal,clear,high
STU_1036,MOD_01,optimal,clear,high
STU_1036,MOD_02,optimal,clear,moderate
STU_1036,MOD_03,rushed,clear,high
STU_1036,MOD_04,slow,clear,high
STU_1036,MOD_05,slow,confused,moderate
STU_1036,MOD_06,optimal,clear,moderate
STU_1037,MOD_01,optimal,clear,high
STU_1037,MOD_02,optimal,clear,high
STU_1037,MOD_03,rushed,clear,high
STU_1037,MOD_04,rushed,confused,moderate
STU_1037,MOD_05,optimal,clear,moderate
STU_1037,MOD_06,optimal,clear,moderate
STU_1038,MOD_01,rushed,fragmented,high
STU_1038,MOD_02,optimal,clear,moderate
STU_1038,MOD_03,optimal,clear,high
STU_1038,MOD_04,rushed,clear,depleted
STU_1038,MOD_05,optimal,fragmented,high
STU_1038,MOD_06,optimal,confused,high
STU_1039,MOD_01,optimal,clear,moderate
STU_1039,MOD_02,rushed,clear,high
STU_1039,MOD_03,rushed,clear,moderate
STU_1039,MOD_04,optimal,clear,high
STU_1039,MOD_05,optimal,clear,moderate
STU_1039,MOD_06,optimal,clear,moderate
STU_1040,MOD_01,optimal,clear,high
STU_1040,MOD_02,optimal,clear,high
STU_1040,MOD_03,optimal,clear,high
STU_1040,MOD_04,optimal,confused,high
STU_1040,MOD_05,rushed,confused,moderate
STU_1040,MOD_06,optimal,confused,moderate
STU_1041,MOD_01,optimal,clear,moderate
STU_1041,MOD_02,rushed,clear,moderate
STU_1041,MOD_03,optimal,clear,moderate
STU_1041,MOD_04,rushed,confused,high
STU_1041,MOD_05,optimal,confused,high
STU_1041,MOD_06,optimal,clear,moderate
STU_1042,MOD_01,optimal,clear,high
STU_1042,MOD_02,optimal,clear,moderate
STU_1042,MOD_03,optimal,clear,high
STU_1042,MOD_04,optimal,clear,moderate
STU_1042,MOD_05,optimal,confused,high
STU_1042,MOD_06,optimal,confused,moderate
STU_1043,MOD_01,optimal,clear,high
STU_1043,MOD_02,optimal,clear,high
STU_1043,MOD_03,optimal,confused,moderate
STU_1043,MOD_04,optimal,clear,depleted
STU_1043,MOD_05,optimal,clear,depleted
